id,name,sku,qty,price
3,arnoldas@email.com,produktas-2-22,221,342
4,"Produktas 3",produktas-3,12,12
5,"Kedai Liux",kedai-1,12,12
6,"Suknele Gelele",suknele-gelele,12,12
7,"tokyo marui - mk23 us socom - hopup - hg - spring",1000000006667,4,9.295
8,"tokyo marui - pistol speedloader",1000000006674,4,2.86
9,"tokyo marui - cz 75 - hopup - hg - spring",1000000006841,1,9.845
10,"tokyo marui - usp - hopup - hg - spring",1000000007015,4,9.845
11,"Tokyo Marui - Magazine Hi-Cap - P90 - 300",1000000007343,1,8.6218
12,"Tokyo Marui - Magazine 92F/Tactical - GBB",1000000007503,1,10.395
13,"tokyo marui - m92f - gbb",1000000005318,4,35.695
14,"tokyo marui - m9 tactical master - gbb",1000000006391,4,41.195
15,"tokyo marui - m92f military model - hopup - hg - spring",1000000006643,4,9.845
16,"tokyo marui - g17 - hopup - hg - spring",1000000006650,4,9.295
17,"tokyo marui - m8000 cougar g - hopup - hg - spring",1000000006827,4,9.845
18,"tokyo marui - hi-capa 5.1 - gbb",1000000007053,4,41.525
19,"tokyo marui - p226 - gbb",1000000007060,4,41.195
20,"Tokyo Marui - Magazine Cougar - Spring",1000000007466,0,2.475
21,"Tokyo Marui - Magazine Hi-Cap - G18C - 100 - AEP",1000000007480,0,9.625
22,"Tokyo Marui - Magazine 92F - Spring",1000000007527,0,2.475
23,"Tokyo Marui - P90-TR",1000000007671,0,82.445
